,Y
01-01-2013,-259.8640246
02-01-2013,651.8656979
03-01-2013,53.46756857
04-01-2013,-418.111488
05-01-2013,459.2776469
06-01-2013,2572.032024
07-01-2013,897.8365436
08-01-2013,-136.4694309
09-01-2013,793.7721221
10-01-2013,-1.784150475
11-01-2013,-464.5740529
12-01-2013,562.645093
13-01-2013,2650.000058
14-01-2013,806.9784219
15-01-2013,-369.4550836
16-01-2013,894.7727741
17-01-2013,-196.3105541
18-01-2013,-614.9678427
19-01-2013,812.466743
20-01-2013,3044.628803
21-01-2013,762.2607319
22-01-2013,-445.1157988
23-01-2013,984.9087659
24-01-2013,-201.1315804
25-01-2013,-879.6434436
26-01-2013,736.4678762
27-01-2013,3108.413652
28-01-2013,533.8553046
29-01-2013,-538.8177001
30-01-2013,1191.957756
31-01-2013,-349.752069
01-02-2013,-1202.74695
02-02-2013,861.0983295
03-02-2013,2767.10341
04-02-2013,766.8043774
05-02-2013,-183.1553731
06-02-2013,1267.269073
07-02-2013,-502.5520975
08-02-2013,-1355.302866
09-02-2013,946.8491876
10-02-2013,3064.556434
11-02-2013,780.5299284
12-02-2013,72.83229593
13-02-2013,1206.50422
14-02-2013,-370.5100047
15-02-2013,-1378.248871
16-02-2013,774.5589334
17-02-2013,3170.436416
18-02-2013,1042.405734
19-02-2013,279.2124127
20-02-2013,1376.234907
21-02-2013,-195.778657
22-02-2013,-1643.728545
23-02-2013,941.6337005
24-02-2013,3158.912751
25-02-2013,1250.846874
26-02-2013,281.8568748
27-02-2013,1470.682608
28-02-2013,46.85046401
01-03-2013,-1425.10478
02-03-2013,564.6738712
03-03-2013,2764.62291
04-03-2013,1461.065218
05-03-2013,227.3375523
06-03-2013,1779.135642
07-03-2013,267.1911732
08-03-2013,-1499.642853
09-03-2013,692.5473849
10-03-2013,2291.772114
11-03-2013,1406.811368
12-03-2013,-229.2671515
13-03-2013,1616.980964
14-03-2013,481.3736689
15-03-2013,-1513.889883
16-03-2013,560.4899713
17-03-2013,1803.303839
18-03-2013,1207.103448
19-03-2013,-341.2606931
20-03-2013,1355.455884
21-03-2013,553.3526014
22-03-2013,-1764.461573
23-03-2013,259.4059513
24-03-2013,1606.866422
25-03-2013,1278.833246
26-03-2013,-261.9397122
27-03-2013,1208.169192
28-03-2013,851.5827335
29-03-2013,-1609.886918
30-03-2013,348.2938775
31-03-2013,1380.683923
